"","1","match_greened_date","greened_id","vacant_id"
"3311","16181","2007-09-01",4542,757239
"3312","17629","2007-09-01",4544,1130744
"3313","15775","2007-09-01",4545,1110045
"3314","15750","2007-09-01",4546,104013
"3315","20834","2007-09-01",4547,823806
"3316","16146","2007-09-01",4548,933920
"3317","14915","2013-09-01",4549,231733
"3318","14906","2013-09-01",4550,55818
"3319","17603","2007-09-01",4552,425656
"3320","20833","2007-09-01",4553,177555
"3321","20876","2007-09-01",4554,1359847
"3322","20850","2007-09-01",4555,647490
"3323","19654","2007-09-01",4557,950509
"3324","20337","2007-09-01",4558,1207126
"3325","14937","2013-09-01",4570,936734
"3326","14613","2013-03-01",4571,445503
"3327","15028","2013-09-01",4572,1347274
"3328","18758","2013-09-01",4573,1089655
"3329","14923","2013-03-01",4574,1089122
"3330","15868","2013-09-01",4575,1303397
"3331","15821","2013-09-01",4576,674753
"3332","15004","2013-09-01",4577,1171948
"3333","14651","2013-09-01",4578,886397
"3334","18663","2013-09-01",4579,648940
"3335","15012","2013-09-01",4580,1347271
"3336","18988","2013-09-01",4581,1065673
"3337","14622","2013-03-01",4582,984508
"3338","14995","2013-03-01",4583,466749
"3339","14979","2013-03-01",4584,384032
"3340","15126","2013-09-01",4585,1354821
"3341","17199","2013-09-01",4586,1065568
"3342","15318","2013-09-01",4587,280161
"3343","15017","2013-09-01",4588,1171422
"3344","18825","2013-09-01",4589,1353294
"3345","14966","2013-03-01",4601,996019
"3346","14803","2009-03-01",4602,1356712
"3347","14774","2009-03-01",4603,243835
"3348","14784","2009-03-01",4604,993091
